date,RMSE,MAE,BIAS
2024-01-04,4.603289696588633,2.9721147354921555,0.1359472227842221
2024-01-06,2.8214481512051544,1.7427476831473387,0.1645172469406119
2024-02-08,2.6214805173658893,1.989498403589314,-0.11319032682972148
2024-01-08,2.5748399968272064,2.16539979869118,-0.3968727820451987
2024-01-12,2.449785357762496,1.362214663442786,0.4206474922915015
2024-01-02,2.436106768276716,1.732174716607036,0.3470783005623153
2024-12-09,2.394453549853808,1.2152755746045836,0.3107753729986365
2024-01-03,2.264002751618558,1.708168665862309,-0.0834317309796465
2024-01-07,2.226534771205231,1.8054870561718863,-0.3982912987190328
2024-04-12,2.028323021134645,1.6104184498866154,0.1988762853541863
